1. Who were the first monotheists?;Hebrews
2. What word means belief in one God?;Monotheism
3. God and Abraham made a promise.;It is called a Covenant
4. Where did the Hebrews live c. 1800 B.C.?;The Fertile Crescent
5. Who led the Hebrews out of Egypt?;Moses
6. What are the Ten Commandments?;These are basic moral laws from God to Moses and the Hebrews.
7. What is the oldest monotheistic religion?;Judaism
8. In what ways are the Hebrews the beginning of western civilization?;In the west, most people believe in one God, and the culture and the laws of the west are based on the laws of the Hebrews.
9. How did the Hebrews view God?;God is viewed as the Father.
10. What do we call the promise between God and the Hebrews?;Covenant
11. List the Hebrew kings:;Saul David Solomon
12. What did the 12 tribes of Israel do after King Solomon?;The 12 tribes split into two groups. Ten tribes formed a northern kingdom and 2 tribes formed a southern kingdom.
13. What are the ten lost tribes of Israel?;No one knows what happened to the 10 tribes of the north.
14. What did Romans force Hebrews to do?;Romans forced Hebrews to leave the Roman Empire
15. What is this event (in number 7) called?;Diaspora
16. When was the modern county of Israel formed?;1948
