1. Who were the most powerful of the ancient civilizations of the Americas?;The Incas
2. How many people did the Incas rule?;c. 12 million
3. About when did the Incan civilization exist?;from the 12th century to 1532
4. Where were the Incas located?;They existed in the Andes Mountains, which is on the western edge of South America.
5. What did Incas build on the mountains to help them farm?;terraces
6. What did Incas grow?;chili peppers, squash, beans, cotton, peanuts, corn, and over 200 varieties of potatoes
7. What did Incas believe about the sun?;Incas believed they were descendants of the sun god, Inti.
8. Could Incas improve their lives through hard work?;No. They were born either commoners or nobles.
9. What did commoners have to do throughout their lives?;Commoners had to serve the government by building, working on farms, and serving in the military.
10. What is the most well-known Incan city?;Machu Picchu.
11. Who conquered the Incas?;The Spanish
